Linear Search:

		Searched	Index	Comparisons
		6.96		0	1
		54.62		1	2
		74.57		2	3
		222.68		3	4
		177.01		4	5
		146.39		5	6
		113.77		6	7
		9.6		7	8
		197.13		8	9
		72.67		9	10
		88.93		10	11
		41.87		11	12
		273.77		12	13
		165.25		13	14
		247.15		14	15
		274.7		15	16
		254.1		16	17
		269.72		17	18
		105.24		18	19
		245.47		19	20
		217.33		20	21
		306		21	22
		249.8		22	23
		268.17		23	24
		45.36		24	25
		286.83		25	26
		192.92		26	27
		42.86		27	28
		194.64		28	29
		9.09		29	30
		158.13		30	31
		220.04		31	32
		156.99		32	33
		107.84		33	34
		89.42		34	35
		171.75		35	36
		108.34		36	37
		100.29		37	38
		153.35		38	39
		130.62		39	40
		266.78		40	41
		24.78		41	42
		286.94		42	43
		293.43		43	44
		182.27		44	45
		319.02		45	46
		112.26		46	47
		135.28		47	48
		15.95		48	49
		316.62		49	50
		47.19		50	51
		33.39		51	52
		133.24		52	53
		164.42		53	54
		18.1		54	55
		254.9		55	56
		85.56		56	57
		313.55		57	58
		208.37		58	59
		62.92		59	60
		186.11		60	61
		110.06		61	62
		248.52		62	63
		187.18		63	64
		201.07		64	65
		123.73		65	66
		298.81		66	67
		272.54		67	68
		327.56		68	69
		238.2		69	70
		102.37		70	71
		122.04		71	72
		290.67		72	73
		107.19		73	74
		115.2		74	75
		280.17		75	76
		92.27		76	77
		225.69		77	78
		135.64		78	79
		287.16		79	80
		210.12		80	81
		63.04		81	82
		194.93		82	83
		307.95		83	84
		192.43		84	85
		26.24		85	86
		114.75		86	87
		206.95		87	88
		0.03		-1	320
		96.05		89	90
		199.38		90	91
		133.88		91	92
		92.1		92	93
		265.89		93	94
		123.77		94	95
		296.07		95	96
		20.23		96	97
		213.41		97	98
		123.63		98	99
		50.56		99	100
		46.27		100	101
		58.11		101	102
		238.03		102	103
		217.22		103	104
		305.97		104	105
		290.2		105	106
		72.35		106	107
		226.49		107	108
		67.87		108	109
		102.63		109	110
		74.79		110	111
		229		111	112
		128.85		112	113
		75.77		113	114
		240.69		114	115
		108.26		115	116
		82.68		116	117
		254.74		117	118
		187.2		118	119
		280.89		119	120
		56.35		120	121
		224.16		121	122
		116.77		122	123
		157.57		123	124
		289.01		124	125
		84.66		125	126
		58.53		126	127
		132.39		127	128
		283.99		128	129
		88.64		129	130
		182.84		130	131
		24.62		131	132
		83.75		132	133
		133.22		133	134
		233.37		134	135
		168.26		135	136
		155.34		136	137
		144.78		137	138
		216.71		138	139
		39.34		139	140
		142.42		140	141
		259.34		141	142
		66.12		142	143
		288.85		143	144
		180.55		144	145
		194.57		145	146
		91.76		146	147
		122.09		147	148
		116.38		148	149
		322.32		149	150
		261.76		150	151
		152		151	152
		327.58		152	153
		232.99		153	154
		126.36		154	155
		46.08		155	156
		139.47		156	157
		249.66		157	158
		50.93		158	159
		111.24		159	160
		156.6		160	161
		44.87		161	162
		327.39		162	163
		68.4		163	164
		245.53		164	165
		145.85		165	166
		140.3		166	167
		228.97		167	168
		142.21		168	169
		153.25		169	170
		166.28		170	171
		291.29		171	172
		318.56		172	173
		114.47		173	174
		297.22		174	175
		313.53		175	176
		251.37		176	177
		187.51		177	178
		198.14		178	179
		64.39		179	180
		247.54		180	181
		121.22		181	182
		88.29		182	183
		324.99		183	184
		36.83		184	185
		241.36		185	186
		281.36		186	187
		49.41		187	188
		286.12		188	189
		225.59		189	190
		150.36		190	191
		166.49		191	192
		246.13		192	193
		305.84		193	194
		295.62		194	195
		65.81		195	196
		306.4		196	197
		198.16		197	198
		61.96		198	199
		171.94		199	200
		47.78		200	201
		70.9		201	202
		81.77		202	203
		254.41		203	204
		240.54		204	205
		161.86		205	206
		23.87		206	207
		323.92		207	208
		32.91		208	209
		78.69		209	210
		241.83		210	211
		315.73		211	212
		71.75		212	213
		291.2		213	214
		123.17		214	215
		167.95		215	216
		178.75		216	217
		296.38		217	218
		194.65		218	219
		100.11		219	220
		30.16		220	221
		224.7		221	222
		129.69		222	223
		78.36		223	224
		310.74		224	225
		40.6		225	226
		40.87		226	227
		238.7		227	228
		10.45		228	229
		156.79		229	230
		152.65		230	231
		271.47		231	232
		114.06		232	233
		236.67		233	234
		11.27		234	235
		194.07		235	236
		177.23		236	237
		4.48		237	238
		191.41		238	239
		187.29		239	240
		5.25		240	241
		148.18		241	242
		119.87		242	243
		283.87		243	244
		136.93		244	245
		253.46		245	246
		218.65		246	247
		206.07		247	248
		242.69		248	249
		45.81		249	250
		21.82		250	251
		140.98		251	252
		280.48		252	253
		223.72		253	254
		140.67		254	255
		128.86		255	256
		241.72		256	257
		312.6		257	258
		59.23		258	259
		163.78		259	260
		54.07		260	261
		308.22		261	262
		290.22		262	263
		320.6		263	264
		60.8		264	265
		262.5		265	266
		217.91		266	267
		58.18		267	268
		39.11		268	269
		320.47		269	270
		158.02		270	271
		272.69		271	272
		126.24		272	273
		276.7		273	274
		272.01		274	275
		42.16		275	276
		304.92		276	277
		176.72		277	278
		278.17		278	279
		155.6		279	280
		178.81		280	281
		48.77		281	282
		133.53		282	283
		125.07		283	284
		276.83		284	285
		291.51		285	286
		58.59		286	287
		118.7		287	288
		63.46		288	289
		147.5		289	290
		78.78		290	291
		83.38		291	292
		119.9		292	293
		48.05		293	294
		76.03		294	295
